Program,Pvalue,Avalue,Mag
P0,1.0,0.0,large
P10,1.0,1.0,large
P100,1.0,0.0,large
P101,1.0,0.0,large
P102,1.0,0.0,large
P103,1.0,0.0,large
P104,1.0,0.5,negligible
P105,1.0,0.0,large
P106,1.0,0.0,large
P107,1.0,0.5,negligible
P109,1.0,0.5,negligible
P11,1.0,0.0,large
P111,1.0,0.0,large
P112,1.0,0.5,negligible
P113,1.0,0.0,large
P114,1.0,0.0,large
P115,1.0,1.0,large
P116,1.0,0.5,negligible
P117,1.0,0.0,large
P118,1.0,0.0,large
P119,1.0,0.0,large
P12,1.0,0.0,large
P120,1.0,0.0,large
P122,1.0,1.0,large
P123,1.0,0.5,negligible
P124,1.0,0.0,large
P125,1.0,0.0,large
P127,1.0,0.0,large
P128,1.0,0.0,large
P129,1.0,0.0,large
P13,1.0,0.0,large
P130,1.0,0.5,negligible
P131,1.0,0.5,negligible
P132,1.0,1.0,large
P133,1.0,1.0,large
P134,1.0,1.0,large
P135,1.0,0.5,negligible
P136,1.0,0.0,large
P137,1.0,1.0,large
P138,1.0,0.5,negligible
P139,1.0,0.0,large
P14,1.0,0.0,large
P141,1.0,0.0,large
P144,1.0,0.0,large
P145,1.0,0.0,large
P146,1.0,1.0,large
P147,1.0,0.0,large
P148,1.0,0.5,negligible
P149,1.0,0.0,large
P150,1.0,0.0,large
P152,1.0,0.0,large
P153,1.0,1.0,large
P154,1.0,0.0,large
P155,1.0,1.0,large
P156,1.0,0.5,negligible
P157,1.0,0.0,large
P158,1.0,0.0,large
P159,1.0,0.0,large
P16,1.0,0.5,negligible
P160,1.0,0.5,negligible
P161,1.0,0.0,large
P162,1.0,0.0,large
P163,1.0,1.0,large
P164,1.0,0.0,large
P167,1.0,0.0,large
P168,1.0,0.0,large
P169,1.0,0.0,large
P17,1.0,0.0,large
P170,1.0,0.0,large
P172,1.0,0.0,large
P173,1.0,0.0,large
P174,1.0,0.5,negligible
P175,1.0,0.0,large
P176,1.0,0.5,negligible
P177,1.0,0.0,large
P178,1.0,0.0,large
P18,1.0,0.0,large
P181,1.0,0.0,large
P182,1.0,0.0,large
P183,1.0,0.0,large
P184,1.0,0.0,large
P186,1.0,1.0,large
P187,1.0,0.0,large
P188,1.0,0.0,large
P189,1.0,1.0,large
P19,1.0,0.0,large
P191,1.0,0.0,large
P193,1.0,0.0,large
P194,1.0,0.0,large
P195,1.0,0.0,large
P196,1.0,0.0,large
P197,1.0,0.0,large
P198,1.0,0.5,negligible
P199,1.0,0.0,large
P2,1.0,0.0,large
P20,1.0,0.5,negligible
P200,1.0,1.0,large
P201,1.0,1.0,large
P202,1.0,0.0,large
P203,1.0,0.5,negligible
P204,1.0,0.0,large
P205,1.0,0.0,large
P207,1.0,0.0,large
P209,1.0,0.0,large
P21,1.0,1.0,large
P210,1.0,0.0,large
P211,1.0,0.0,large
P212,1.0,0.0,large
P213,1.0,0.0,large
P214,1.0,1.0,large
P216,1.0,1.0,large
P218,1.0,0.0,large
P219,1.0,1.0,large
P22,1.0,0.0,large
P220,1.0,0.0,large
P224,1.0,0.5,negligible
P225,1.0,0.0,large
P226,1.0,0.0,large
P227,1.0,0.0,large
P228,1.0,0.0,large
P229,1.0,1.0,large
P23,1.0,1.0,large
P230,1.0,0.5,negligible
P231,1.0,1.0,large
P233,1.0,0.0,large
P234,1.0,0.0,large
P235,1.0,0.0,large
P237,1.0,0.0,large
P238,1.0,0.0,large
P239,1.0,0.5,negligible
P24,1.0,0.0,large
P240,1.0,0.5,negligible
P241,1.0,0.0,large
P243,1.0,0.0,large
P244,1.0,0.0,large
P245,1.0,1.0,large
P247,1.0,0.0,large
P249,1.0,0.0,large
P25,1.0,1.0,large
P250,1.0,0.0,large
P251,1.0,0.0,large
P252,1.0,1.0,large
P253,1.0,0.5,negligible
P256,1.0,0.0,large
P258,1.0,0.0,large
P26,1.0,0.0,large
P260,1.0,0.0,large
P261,1.0,0.0,large
P262,1.0,0.0,large
P263,1.0,0.0,large
P264,1.0,0.0,large
P265,1.0,0.0,large
P266,1.0,0.0,large
P267,1.0,0.0,large
P268,1.0,1.0,large
P269,1.0,0.0,large
P270,1.0,0.5,negligible
P271,1.0,0.0,large
P272,1.0,0.0,large
P273,1.0,0.0,large
P274,1.0,0.0,large
P275,1.0,0.0,large
P276,1.0,0.0,large
P277,1.0,0.0,large
P278,1.0,0.0,large
P279,1.0,1.0,large
P28,1.0,1.0,large
P281,1.0,0.0,large
P282,1.0,0.0,large
P283,1.0,0.0,large
P284,1.0,0.5,negligible
P285,1.0,0.0,large
P286,1.0,0.0,large
P288,1.0,0.0,large
P289,1.0,0.5,negligible
P29,1.0,0.0,large
P291,1.0,0.0,large
P292,1.0,0.0,large
P293,1.0,0.0,large
P295,1.0,1.0,large
P296,1.0,0.0,large
P297,1.0,0.0,large
P298,1.0,1.0,large
P299,1.0,0.0,large
P3,1.0,0.0,large
P30,1.0,0.0,large
P300,1.0,0.0,large
P301,1.0,0.0,large
P302,1.0,0.0,large
P303,1.0,0.0,large
P305,1.0,0.0,large
P306,1.0,0.0,large
P308,1.0,1.0,large
P309,1.0,0.0,large
P31,1.0,0.0,large
P310,1.0,0.0,large
P311,1.0,0.0,large
P312,1.0,1.0,large
P314,1.0,1.0,large
P315,1.0,0.0,large
P316,1.0,0.5,negligible
P319,1.0,1.0,large
P32,1.0,0.0,large
P320,1.0,0.0,large
P321,1.0,0.0,large
P322,1.0,0.0,large
P324,1.0,0.0,large
P325,1.0,0.0,large
P327,1.0,0.0,large
P33,1.0,0.0,large
P330,1.0,0.0,large
P331,1.0,0.0,large
P332,1.0,0.0,large
P333,1.0,0.5,negligible
P335,1.0,1.0,large
P336,1.0,0.5,negligible
P337,1.0,0.0,large
P338,1.0,0.0,large
P339,1.0,0.0,large
P34,1.0,1.0,large
P340,1.0,0.5,negligible
P341,1.0,0.0,large
P342,1.0,0.0,large
P343,1.0,0.0,large
P344,1.0,0.0,large
P345,1.0,0.0,large
P346,1.0,0.0,large
P347,1.0,0.0,large
P348,1.0,0.0,large
P35,1.0,0.0,large
P351,1.0,0.0,large
P352,1.0,0.0,large
P353,1.0,0.0,large
P354,1.0,0.0,large
P355,1.0,0.5,negligible
P356,1.0,0.0,large
P357,1.0,0.0,large
P358,1.0,0.0,large
P359,1.0,0.0,large
P36,1.0,0.5,negligible
P360,1.0,0.0,large
P361,1.0,0.0,large
P362,1.0,0.5,negligible
P363,1.0,0.0,large
P364,1.0,0.0,large
P366,1.0,0.0,large
P367,1.0,1.0,large
P368,1.0,0.0,large
P370,1.0,0.5,negligible
P371,1.0,0.0,large
P372,1.0,0.0,large
P374,1.0,0.0,large
P375,1.0,0.0,large
P376,1.0,1.0,large
P378,1.0,0.0,large
P379,1.0,1.0,large
P38,1.0,0.5,negligible
P380,1.0,0.0,large
P383,1.0,0.0,large
P384,1.0,0.0,large
P385,1.0,0.0,large
P386,1.0,0.0,large
P387,1.0,1.0,large
P388,1.0,1.0,large
P389,1.0,0.0,large
P39,1.0,0.5,negligible
P390,1.0,0.5,negligible
P391,1.0,0.0,large
P392,1.0,0.0,large
P395,1.0,0.0,large
P396,1.0,0.5,negligible
P397,1.0,0.0,large
P398,1.0,0.0,large
P399,1.0,1.0,large
P4,1.0,0.0,large
P40,1.0,0.0,large
P400,1.0,1.0,large
P401,1.0,0.0,large
P404,1.0,0.0,large
P405,1.0,1.0,large
P406,1.0,0.0,large
P407,1.0,0.0,large
P409,1.0,0.0,large
P41,1.0,0.0,large
P410,1.0,0.0,large
P411,1.0,0.5,negligible
P412,1.0,0.0,large
P413,1.0,0.0,large
P414,1.0,0.0,large
P415,1.0,0.5,negligible
P416,1.0,0.0,large
P417,1.0,1.0,large
P418,1.0,0.0,large
P419,1.0,0.0,large
P42,1.0,0.0,large
P420,1.0,0.5,negligible
P421,1.0,1.0,large
P422,1.0,0.0,large
P424,1.0,0.0,large
P425,1.0,0.5,negligible
P426,1.0,0.5,negligible
P428,1.0,0.0,large
P429,1.0,0.0,large
P43,1.0,0.0,large
P431,1.0,0.0,large
P432,1.0,1.0,large
P433,1.0,1.0,large
P435,1.0,0.0,large
P436,1.0,0.0,large
P437,1.0,0.0,large
P439,1.0,0.0,large
P44,1.0,0.0,large
P440,1.0,0.0,large
P441,1.0,0.5,negligible
P442,1.0,0.0,large
P443,1.0,0.0,large
P444,1.0,0.0,large
P446,1.0,0.0,large
P447,1.0,0.0,large
P448,1.0,1.0,large
P45,1.0,0.0,large
P450,1.0,0.5,negligible
P451,1.0,0.0,large
P452,1.0,0.0,large
P453,1.0,0.5,negligible
P454,1.0,0.0,large
P455,1.0,0.0,large
P456,1.0,0.0,large
P457,1.0,0.0,large
P458,1.0,0.0,large
P459,1.0,0.5,negligible
P46,1.0,0.0,large
P460,1.0,0.0,large
P462,1.0,0.0,large
P463,1.0,0.5,negligible
P464,1.0,1.0,large
P465,1.0,0.0,large
P466,1.0,0.0,large
P469,1.0,1.0,large
P470,1.0,0.5,negligible
P471,1.0,0.5,negligible
P472,1.0,1.0,large
P473,1.0,1.0,large
P474,1.0,0.0,large
P475,1.0,0.0,large
P476,1.0,0.0,large
P478,1.0,0.0,large
P479,1.0,0.0,large
P48,1.0,1.0,large
P480,1.0,0.5,negligible
P481,1.0,0.0,large
P482,1.0,0.5,negligible
P484,1.0,0.0,large
P486,1.0,0.0,large
P489,1.0,0.0,large
P49,1.0,0.0,large
P490,1.0,0.0,large
P491,1.0,0.0,large
P492,1.0,0.0,large
P494,1.0,1.0,large
P495,1.0,1.0,large
P496,1.0,1.0,large
P497,1.0,0.0,large
P498,1.0,0.0,large
P499,1.0,0.0,large
P5,1.0,0.0,large
P50,1.0,0.0,large
P501,1.0,0.0,large
P505,1.0,0.0,large
P506,1.0,0.0,large
P507,1.0,1.0,large
P509,1.0,0.0,large
P510,1.0,0.0,large
P511,1.0,0.5,negligible
P512,1.0,0.0,large
P513,1.0,0.0,large
P514,1.0,0.0,large
P516,1.0,1.0,large
P517,1.0,0.0,large
P52,1.0,0.0,large
P520,1.0,0.0,large
P522,1.0,0.0,large
P523,1.0,0.0,large
P524,1.0,0.5,negligible
P525,1.0,0.0,large
P527,1.0,1.0,large
P528,1.0,0.5,negligible
P529,1.0,0.0,large
P530,1.0,0.5,negligible
P531,1.0,0.0,large
P532,1.0,0.0,large
P534,1.0,0.0,large
P535,1.0,0.0,large
P536,1.0,1.0,large
P538,1.0,0.0,large
P540,1.0,0.0,large
P541,1.0,1.0,large
P543,1.0,0.5,negligible
P544,1.0,0.5,negligible
P546,1.0,0.0,large
P547,1.0,0.0,large
P55,1.0,0.0,large
P553,1.0,0.0,large
P555,1.0,0.5,negligible
P556,1.0,1.0,large
P557,1.0,0.5,negligible
P558,1.0,0.0,large
P559,1.0,0.0,large
P56,1.0,1.0,large
P560,1.0,0.0,large
P561,1.0,1.0,large
P563,1.0,0.0,large
P564,1.0,0.0,large
P565,1.0,0.0,large
P566,1.0,0.0,large
P568,1.0,0.0,large
P569,1.0,1.0,large
P57,1.0,1.0,large
P570,1.0,0.5,negligible
P571,1.0,0.0,large
P572,1.0,0.0,large
P573,1.0,0.5,negligible
P575,1.0,1.0,large
P576,1.0,1.0,large
P577,1.0,0.0,large
P578,1.0,0.0,large
P580,1.0,0.0,large
P583,1.0,1.0,large
P584,1.0,0.0,large
P585,1.0,0.0,large
P586,1.0,1.0,large
P587,1.0,1.0,large
P588,1.0,0.0,large
P589,1.0,0.5,negligible
P59,1.0,0.0,large
P590,1.0,0.0,large
P591,1.0,1.0,large
P592,1.0,0.0,large
P593,1.0,1.0,large
P594,1.0,0.0,large
P595,1.0,1.0,large
P596,1.0,0.0,large
P597,1.0,0.0,large
P598,1.0,0.0,large
P599,1.0,0.0,large
P6,1.0,0.0,large
P60,1.0,0.0,large
P600,1.0,0.0,large
P601,1.0,0.0,large
P603,1.0,0.0,large
P604,1.0,1.0,large
P605,1.0,0.0,large
P606,1.0,0.0,large
P607,1.0,0.0,large
P608,1.0,1.0,large
P609,1.0,0.0,large
P610,1.0,0.5,negligible
P611,1.0,0.0,large
P613,1.0,0.0,large
P614,1.0,1.0,large
P615,1.0,0.5,negligible
P616,1.0,0.0,large
P617,1.0,1.0,large
P618,1.0,0.0,large
P619,1.0,0.0,large
P62,1.0,0.0,large
P620,1.0,0.0,large
P621,1.0,0.0,large
P622,1.0,0.0,large
P623,1.0,0.0,large
P624,1.0,0.0,large
P625,1.0,0.0,large
P627,1.0,0.0,large
P628,1.0,0.5,negligible
P63,1.0,0.0,large
P630,1.0,0.0,large
P631,1.0,0.0,large
P632,1.0,0.5,negligible
P633,1.0,0.0,large
P634,1.0,1.0,large
P635,1.0,1.0,large
P637,1.0,0.0,large
P638,1.0,1.0,large
P64,1.0,0.5,negligible
P640,1.0,0.5,negligible
P641,1.0,1.0,large
P642,1.0,0.0,large
P643,1.0,0.0,large
P645,1.0,0.0,large
P646,1.0,0.0,large
P647,1.0,0.0,large
P648,1.0,0.0,large
P649,1.0,1.0,large
P65,1.0,0.0,large
P650,1.0,0.0,large
P651,1.0,0.0,large
P654,1.0,0.0,large
P655,1.0,0.0,large
P656,1.0,0.0,large
P657,1.0,1.0,large
P658,1.0,1.0,large
P659,1.0,0.0,large
P660,1.0,0.0,large
P662,1.0,0.0,large
P663,1.0,0.0,large
P664,1.0,0.0,large
P665,1.0,0.0,large
P666,1.0,0.0,large
P667,1.0,0.5,negligible
P668,1.0,0.0,large
P669,1.0,0.0,large
P67,1.0,0.0,large
P671,1.0,1.0,large
P672,1.0,0.0,large
P674,1.0,0.0,large
P675,1.0,0.0,large
P676,1.0,1.0,large
P677,1.0,0.0,large
P678,1.0,0.0,large
P679,1.0,0.0,large
P68,1.0,0.5,negligible
P680,1.0,0.0,large
P681,1.0,0.5,negligible
P682,1.0,0.0,large
P683,1.0,0.0,large
P684,1.0,1.0,large
P685,1.0,0.5,negligible
P686,1.0,0.0,large
P688,1.0,0.0,large
P689,1.0,0.0,large
P690,1.0,0.0,large
P693,1.0,1.0,large
P694,1.0,0.0,large
P695,1.0,0.0,large
P696,1.0,0.0,large
P697,1.0,0.0,large
P698,1.0,0.0,large
P699,1.0,0.0,large
P7,1.0,0.0,large
P700,1.0,0.0,large
P701,1.0,0.0,large
P702,1.0,0.0,large
P703,1.0,0.0,large
P704,1.0,0.0,large
P705,1.0,0.0,large
P706,1.0,0.0,large
P707,1.0,1.0,large
P708,1.0,1.0,large
P709,1.0,0.0,large
P71,1.0,0.0,large
P710,1.0,0.0,large
P711,1.0,0.0,large
P712,1.0,0.5,negligible
P713,1.0,1.0,large
P714,1.0,0.0,large
P715,1.0,0.0,large
P716,1.0,0.0,large
P717,1.0,0.0,large
P718,1.0,0.0,large
P719,1.0,0.0,large
P72,1.0,0.0,large
P722,1.0,0.0,large
P724,1.0,1.0,large
P725,1.0,0.0,large
P726,1.0,1.0,large
P728,1.0,0.0,large
P729,1.0,1.0,large
P730,1.0,0.0,large
P731,1.0,0.0,large
P732,1.0,0.0,large
P733,1.0,1.0,large
P734,1.0,0.0,large
P736,1.0,0.0,large
P737,1.0,0.0,large
P738,1.0,0.0,large
P739,1.0,0.0,large
P74,1.0,0.0,large
P740,1.0,0.0,large
P741,1.0,0.0,large
P742,1.0,0.0,large
P744,1.0,0.0,large
P745,1.0,0.5,negligible
P746,1.0,0.0,large
P748,1.0,0.0,large
P749,1.0,0.0,large
P750,1.0,0.0,large
P751,1.0,0.0,large
P752,1.0,0.0,large
P753,1.0,0.0,large
P754,1.0,0.0,large
P755,1.0,0.0,large
P756,1.0,0.0,large
P757,1.0,0.0,large
P758,1.0,0.0,large
P759,1.0,0.0,large
P760,1.0,0.0,large
P761,1.0,1.0,large
P762,1.0,0.0,large
P763,1.0,1.0,large
P764,1.0,0.0,large
P765,1.0,0.0,large
P766,1.0,0.5,negligible
P768,1.0,0.0,large
P769,1.0,0.0,large
P77,1.0,0.0,large
P770,1.0,1.0,large
P771,1.0,1.0,large
P773,1.0,0.0,large
P774,1.0,0.5,negligible
P775,1.0,0.0,large
P776,1.0,0.0,large
P777,1.0,0.0,large
P778,1.0,0.0,large
P779,1.0,0.0,large
P780,1.0,0.0,large
P781,1.0,1.0,large
P783,1.0,0.0,large
P784,1.0,1.0,large
P785,1.0,0.0,large
P787,1.0,0.0,large
P788,1.0,1.0,large
P789,1.0,0.0,large
P79,1.0,0.0,large
P790,1.0,0.0,large
P791,1.0,1.0,large
P793,1.0,1.0,large
P796,1.0,1.0,large
P797,1.0,0.0,large
P798,1.0,0.0,large
P799,1.0,0.0,large
P8,1.0,1.0,large
P80,1.0,0.0,large
P800,1.0,0.5,negligible
P801,1.0,0.0,large
P802,1.0,0.0,large
P803,1.0,0.0,large
P804,1.0,0.5,negligible
P805,1.0,0.0,large
P806,1.0,0.0,large
P807,1.0,1.0,large
P809,1.0,0.0,large
P810,1.0,0.0,large
P813,1.0,0.0,large
P815,1.0,0.5,negligible
P817,1.0,0.5,negligible
P818,1.0,1.0,large
P819,1.0,0.0,large
P82,1.0,0.0,large
P822,1.0,0.0,large
P824,1.0,1.0,large
P825,1.0,0.0,large
P826,1.0,1.0,large
P828,1.0,0.0,large
P829,1.0,1.0,large
P83,1.0,1.0,large
P831,1.0,0.5,negligible
P833,1.0,0.0,large
P834,1.0,0.0,large
P836,1.0,0.0,large
P838,1.0,0.0,large
P839,1.0,0.0,large
P840,1.0,1.0,large
P841,1.0,0.5,negligible
P842,1.0,0.0,large
P843,1.0,1.0,large
P844,1.0,0.0,large
P846,1.0,0.0,large
P847,1.0,0.0,large
P848,1.0,0.0,large
P849,1.0,0.0,large
P85,1.0,0.0,large
P851,1.0,1.0,large
P852,1.0,0.5,negligible
P853,1.0,1.0,large
P854,1.0,0.0,large
P855,1.0,0.0,large
P857,1.0,1.0,large
P86,1.0,0.0,large
P860,1.0,0.0,large
P861,1.0,0.0,large
P862,1.0,1.0,large
P863,1.0,0.0,large
P864,1.0,0.5,negligible
P865,1.0,0.0,large
P866,1.0,0.0,large
P867,1.0,0.0,large
P869,1.0,0.0,large
P87,1.0,0.0,large
P870,1.0,0.0,large
P871,1.0,0.0,large
P872,1.0,0.0,large
P873,1.0,0.5,negligible
P875,1.0,0.0,large
P876,1.0,1.0,large
P877,1.0,0.0,large
P878,1.0,0.0,large
P880,1.0,1.0,large
P881,1.0,0.0,large
P882,1.0,0.0,large
P883,1.0,0.5,negligible
P884,1.0,1.0,large
P885,1.0,0.0,large
P886,1.0,0.0,large
P887,1.0,0.0,large
P888,1.0,0.5,negligible
P889,1.0,1.0,large
P89,1.0,0.0,large
P890,1.0,1.0,large
P893,1.0,0.0,large
P894,1.0,1.0,large
P895,1.0,0.0,large
P896,1.0,0.0,large
P897,1.0,0.0,large
P898,1.0,0.0,large
P9,1.0,0.0,large
P900,1.0,0.0,large
P901,1.0,1.0,large
P903,1.0,0.0,large
P904,1.0,0.0,large
P905,1.0,0.0,large
P906,1.0,1.0,large
P907,1.0,0.0,large
P908,1.0,0.0,large
P909,1.0,1.0,large
P91,1.0,0.0,large
P910,1.0,0.5,negligible
P912,1.0,0.0,large
P913,1.0,0.5,negligible
P914,1.0,0.0,large
P915,1.0,0.0,large
P916,1.0,0.5,negligible
P919,1.0,0.5,negligible
P92,1.0,0.0,large
P920,1.0,0.0,large
P921,1.0,0.0,large
P923,1.0,0.0,large
P925,1.0,1.0,large
P926,1.0,0.0,large
P927,1.0,0.0,large
P928,1.0,0.5,negligible
P93,1.0,0.5,negligible
P930,1.0,0.0,large
P932,1.0,0.0,large
P933,1.0,1.0,large
P934,1.0,1.0,large
P935,1.0,0.0,large
P936,1.0,1.0,large
P937,1.0,0.0,large
P938,1.0,1.0,large
P939,1.0,0.0,large
P94,1.0,0.0,large
P940,1.0,1.0,large
P941,1.0,0.0,large
P942,1.0,0.0,large
P943,1.0,0.0,large
P944,1.0,0.5,negligible
P945,1.0,0.0,large
P948,1.0,0.0,large
P949,1.0,0.0,large
P95,1.0,0.0,large
P950,1.0,0.0,large
P952,1.0,0.0,large
P953,1.0,0.0,large
P954,1.0,0.5,negligible
P955,1.0,0.0,large
P956,1.0,0.0,large
P957,1.0,0.0,large
P96,1.0,0.5,negligible
P960,1.0,0.0,large
P961,1.0,0.0,large
P962,1.0,0.0,large
P963,1.0,0.0,large
P964,1.0,0.0,large
P966,1.0,0.0,large
P967,1.0,0.0,large
P968,1.0,0.0,large
P970,1.0,0.0,large
P972,1.0,1.0,large
P973,1.0,0.0,large
P974,1.0,0.0,large
P976,1.0,1.0,large
P977,1.0,0.0,large
P978,1.0,0.0,large
P98,1.0,1.0,large
P980,1.0,0.5,negligible
P981,1.0,0.0,large
P982,1.0,0.0,large
P983,1.0,0.0,large
P984,1.0,0.0,large
P986,1.0,0.0,large
P987,1.0,0.0,large
P988,1.0,0.5,negligible
P99,1.0,0.0,large
P990,1.0,0.0,large
P991,1.0,0.0,large
P992,1.0,0.0,large
P993,1.0,0.0,large
P994,1.0,0.0,large
P997,1.0,1.0,large
P999,1.0,0.0,large
